titre,organisme,pays,deadline,niveau,montant,statut,url,commentaire
Résidence Génie logiciel,PNUD,RWANDA,2026-11-05,Post-doc,"8000,00 €",en cours,https://exemple-formation.test/opportunite/1387,
Hackathon Biotechnologies,Erasmus Mundus,BENIN,2026-10-16,Tous niveaux,"1200,00 USD",archivée,https://exemple-formation.test/opportunite/8077,
Formation Éducation numérique,Fondation Mastercard,Cameroun,24/07/2026,Master,-,en cours,https://exemple-formation.test/opportunite/6443,
HACKATHON DATA SCIENCE,GIZ,allemagne,18/09/2026,Doctorat,"500,00 MAD",A_FAIRE,https://exemple-formation.test/opportunite/9024,
Programme Entrepreneuriat social,Union Africaine, TUNISIE ,22-07-2026,Doctorat,12000 $,EN COURS,https://exemple-formation.test/opportunite/8035,
Appel à candidatures Éducation numérique,Union Africaine, Sénégal ,17/08/2026,Master,25000 €,ENVOYEE,https://exemple-formation.test/opportunite/3216,
Appel à candidatures Agritech,PNUD,allemagne,,Post-doc,non précisé,archivee,https://exemple-formation.test/opportunite/3442,
Fellowship Intelligence artificielle,Commission Européenne,maroc,13-01-2027,Doctorat,12000 MAD,EN COURS,https://exemple-formation.test/opportunite/5250,
Appel à candidatures Data science,UNESCO,cameroun,02/11/2026,Master,N/A,envoyee,https://exemple-formation.test/opportunite/8898,
Formation Éducation numérique,Banque Islamique de Développement,Bénin,2026-09-19,Post-doc,-,A_FAIRE,https://exemple-formation.test/opportunite/7066,
Subvention Cybersécurité,Banque Mondiale,Bénin,15/01/2027,Master,5 000 USD,archivée,https://exemple-formation.test/opportunite/6331,
Concours Intelligence artificielle,African Development Bank,rwanda,06/10/2026,Doctorat,-,a_faire,https://exemple-formation.test/opportunite/8831,
Programme Cybersécurité,African Development Bank, TUNISIE ,2026-11-02,Doctorat,-,à faire,https://exemple-formation.test/opportunite/8362,
Subvention Agritech,Erasmus Mundus,Canada,2026-09-17,Master,"5000,00 MAD",EN COURS,https://exemple-formation.test/opportunite/3013,
Résidence Génie logiciel,Erasmus Mundus,Côte d'Ivoire,2026-12-21,Doctorat,-,en_cours,https://exemple-formation.test/opportunite/5350,
Résidence Éducation numérique,UNESCO,Côte d'Ivoire,08/11/2026,Post-doc,8 000 USD,archivee,https://exemple-formation.test/opportunite/4400,
Programme Énergies renouvelables,African Development Bank,FRANCE,,Doctorat,1 500 €,archivee,https://exemple-formation.test/opportunite/1643,
Concours Santé publique,Fondation Mastercard,tunisie,29-10-2026,Doctorat,USD5000,,https://exemple-formation.test/opportunite/9942,
STAGE INTELLIGENCE ARTIFICIELLE,PNUD,RWANDA,2026-08-10,Tous niveaux,"25000,00 €",envoyée,https://exemple-formation.test/opportunite/7179,
Concours Data science,  Banque Mondiale ,benin,05/02/2027,Doctorat,-,en cours,https://exemple-formation.test/opportunite/9490,
Subvention Génie logiciel,Université Paris Cité,cameroun,20-11-2026,Licence,"3000,00 EUR",à faire,https://exemple-formation.test/opportunite/6618,
  Résidence Entrepreneuriat social ,Fondation Mastercard,tunisie,12-01-2027,Licence,"1500,00 MAD",en cours,https://exemple-formation.test/opportunite/5850,
Bourse Santé publique,Banque Islamique de Développement,canada,19/01/2027,Master,EUR25000,envoyée,https://exemple-formation.test/opportunite/7913,
